Type,Features Type,ID-number,Province_code,Province_name,Confirmed_cases,Recovered_cases,Death_cases,Features Geometry Type,long,lat
FeatureCollection,Feature,1,11,Aceh,5,1,1,Point,96.90952275,4.225081892
FeatureCollection,Feature,2,12,Sumatera Utara,59,8,4,Point,99.05788785,2.184779215
FeatureCollection,Feature,3,13,Sumatera Barat,31,6,3,Point,100.466805,-0.851914348
FeatureCollection,Feature,4,14,Riau,13,1,3,Point,101.812892,0.510525849
FeatureCollection,Feature,5,15,Jambi,2,1,3,Point,103.59932,-1.61775
FeatureCollection,Feature,6,16,Sumatera Selatan,21,1,2,Point,104.1704194,-3.213346822
FeatureCollection,Feature,7,17,Bengkulu,4,1,1,Point,102.26312,-3.79116
FeatureCollection,Feature,8,19,Kepulauan Bangka Belitung,3,1,1,Point,105.9869481,-2.252956411
FeatureCollection,Feature,9,18,Lampung,20,1,1,Point,105.0183131,-4.918073087
FeatureCollection,Feature,10,21,Kepulauan Riau,21,2,1,Point,108.2022289,3.915947241
FeatureCollection,Feature,11,31,DKI Jakarta,1753,82,154,Point,106.82649,-6.17148
FeatureCollection,Feature,12,32,Jawa Barat,388,19,40,Point,107.6028079,-6.919980216
FeatureCollection,Feature,13,33,Jawa Tengah,144,18,22,Point,110.2011125,-7.258970383
FeatureCollection,Feature,14,34,Daerah Istimewa Yogyakarta,41,6,7,Point,110.445367,-7.895013815
FeatureCollection,Feature,15,35,Jawa Timur,256,62,22,Point,112.7336788,-7.720113019
FeatureCollection,Feature,16,36,Banten,243,7,21,Point,106.1091971,-6.456181599
FeatureCollection,Feature,17,51,Bali,75,19,2,Point,115.131651,-8.369743261
FeatureCollection,Feature,18,52,Nusa Tenggara Barat,25,2,2,Point,117.5068625,-8.606652084
FeatureCollection,Feature,19,53,Nusa Tenggara Timur,1,2,2,Point,121.1418292,-8.604843332
FeatureCollection,Feature,20,61,Kalimantan Barat,10,3,2,Point,111.1207624,-0.085901234
FeatureCollection,Feature,21,62,Kalimantan Tengah,24,7,1,Point,113.1810479,-1.634340045
FeatureCollection,Feature,22,63,Kalimantan Selatan,29,7,2,Point,115.3113078,-2.449779137
FeatureCollection,Feature,23,64,Kalimantan Timur,35,6,1,Point,116.4708584,0.461046227
FeatureCollection,Feature,24,65,Kalimantan Utara,16,6,1,Point,116.2167183,2.888820961
FeatureCollection,Feature,25,71,Sulawesi Utara,13,1,2,Point,124.5353788,1.286097687
FeatureCollection,Feature,26,72,Sulawesi Tengah,14,1,2,Point,120.4495925,-1.459214954
FeatureCollection,Feature,27,73,Sulawesi Selatan,167,24,11,Point,120.1611577,-3.747115712
FeatureCollection,Feature,28,74,Sulawesi Tenggara,15,1,11,Point,122.0786781,-4.132803971
FeatureCollection,Feature,29,75,Gorontalo,1,1,11,Point,123.06184,0.53707
FeatureCollection,Feature,30,76,Sulawesi Barat,3,1,11,Point,119.3434714,-2.461902015
FeatureCollection,Feature,31,81,Maluku,3,1,11,Point,129.360425,-3.126119343
FeatureCollection,Feature,32,82,Maluku Utara,2,1,11,Point,128.0159294,0.869337001
FeatureCollection,Feature,33,94,Papua,38,3,2,Point,140,-5
FeatureCollection,Feature,34,91,Papua Barat,2,3,1,Point,132.9683417,-2.041723282
FeatureCollection,Feature,35,91,Indonesia,35,3,1,Point,113.915865,-0.989818182
